# Object: VI_Cyg_12_comb_00band_lamdif_m144add_norm_reg4_norm.fits
# Telluric: HR_8358_sum_00band_dp_lamdef_m144add_reg4.fits
# Threshold of mask: 0.60
# Signal-to-noise: 344
1.2089208984e+04 9.9614650011e-01 3.4665789770e-03 1.0000000000e+00
1.2089248532e+04 9.9627083540e-01 3.3882085217e-03 1.0000000000e+00
1.2089288080e+04 9.9634069204e-01 3.3259184784e-03 1.0000000000e+00
1.2089327628e+04 9.9677491188e-01 3.2762000944e-03 1.0000000000e+00
1.2089367176e+04 9.9789881706e-01 3.2369516809e-03 1.0000000000e+00
1.2089406724e+04 9.9964183569e-01 3.2050893494e-03 1.0000000000e+00
1.2089446272e+04 1.0013029575e+00 3.1773502249e-03 1.0000000000e+00
1.2089485820e+04 1.0019913912e+00 3.1521769167e-03 1.0000000000e+00
1.2089525368e+04 1.0015144348e+00 3.1302536203e-03 1.0000000000e+00
1.2089564916e+04 1.0006278753e+00 3.1127592403e-03 1.0000000000e+00
1.2089604464e+04 1.0003134012e+00 3.0983874814e-03 1.0000000000e+00
1.2089644012e+04 1.0007793903e+00 3.0879879351e-03 1.0000000000e+00
1.2089683560e+04 1.0012454987e+00 3.0778177245e-03 1.0000000000e+00
1.2089723108e+04 1.0008760691e+00 3.0664164666e-03 1.0000000000e+00
1.2089762656e+04 9.9984306097e-01 3.0546806670e-03 1.0000000000e+00
1.2089802204e+04 9.9910491705e-01 3.0450736166e-03 1.0000000000e+00
1.2089841752e+04 9.9937486649e-01 3.0386993828e-03 1.0000000000e+00
1.2089881300e+04 1.0005381107e+00 3.0343939558e-03 1.0000000000e+00
1.2089920848e+04 1.0017907619e+00 3.0307838329e-03 1.0000000000e+00
1.2089960396e+04 1.0023101568e+00 3.0278701223e-03 1.0000000000e+00
1.2089999944e+04 1.0020990372e+00 3.0264029487e-03 1.0000000000e+00
1.2090039491e+04 1.0018451214e+00 3.0268626758e-03 1.0000000000e+00
1.2090079039e+04 1.0018709898e+00 3.0297237217e-03 1.0000000000e+00
1.2090118587e+04 1.0019090176e+00 3.0360695941e-03 1.0000000000e+00
1.2090158135e+04 1.0019251108e+00 3.0465353107e-03 1.0000000000e+00
1.2090197683e+04 1.0021646023e+00 3.0589404785e-03 1.0000000000e+00
1.2090237231e+04 1.0022602081e+00 3.0679078147e-03 1.0000000000e+00
1.2090276779e+04 1.0014077425e+00 3.0683342083e-03 1.0000000000e+00
1.2090316327e+04 9.9993145466e-01 3.0596614743e-03 1.0000000000e+00
1.2090355875e+04 9.9955624342e-01 3.0447745901e-03 1.0000000000e+00
1.2090395423e+04 1.0011856556e+00 3.0319498681e-03 1.0000000000e+00
1.2090434971e+04 1.0032107830e+00 3.0225494130e-03 1.0000000000e+00
1.2090474519e+04 1.0032596588e+00 3.0173182512e-03 1.0000000000e+00
1.2090514067e+04 1.0010439157e+00 3.0171130989e-03 1.0000000000e+00
1.2090553615e+04 9.9833095074e-01 3.0229820633e-03 1.0000000000e+00
1.2090593163e+04 9.9671834707e-01 3.0349070110e-03 1.0000000000e+00
1.2090632711e+04 9.9652141333e-01 3.0509936478e-03 1.0000000000e+00
1.2090672259e+04 9.9721974134e-01 3.0672007075e-03 1.0000000000e+00
1.2090711807e+04 9.9810039997e-01 3.0784140945e-03 1.0000000000e+00
1.2090751355e+04 9.9870330095e-01 3.0815821903e-03 1.0000000000e+00
1.2090790903e+04 9.9890601635e-01 3.0777095307e-03 1.0000000000e+00
1.2090830451e+04 9.9863123894e-01 3.0704431656e-03 1.0000000000e+00
1.2090869999e+04 9.9802988768e-01 3.0643871092e-03 1.0000000000e+00
1.2090909547e+04 9.9789404869e-01 3.0647864754e-03 1.0000000000e+00
1.2090949095e+04 9.9899089336e-01 3.0764475722e-03 1.0000000000e+00
1.2090988642e+04 1.0008770227e+00 3.1015745117e-03 1.0000000000e+00
1.2091028190e+04 1.0021957159e+00 3.1378452166e-03 1.0000000000e+00
1.2091067738e+04 1.0021947622e+00 3.1772836542e-03 1.0000000000e+00
1.2091107286e+04 1.0013395548e+00 3.2077335832e-03 1.0000000000e+00
1.2091146834e+04 1.0004699230e+00 3.2194349253e-03 1.0000000000e+00
1.2091186382e+04 9.9993252754e-01 3.2117452076e-03 1.0000000000e+00
1.2091225930e+04 9.9965548515e-01 3.1996797520e-03 1.0000000000e+00
1.2091265478e+04 9.9977612495e-01 3.1977411925e-03 1.0000000000e+00
1.2091305026e+04 1.0004245043e+00 3.2114727221e-03 1.0000000000e+00
1.2091344574e+04 1.0002232790e+00 3.2317410791e-03 1.0000000000e+00
1.2091384122e+04 9.9634867907e-01 3.2386155050e-03 1.0000000000e+00
1.2091423670e+04 9.8855960369e-01 3.2193150558e-03 1.0000000000e+00
1.2091463218e+04 9.8219287395e-01 3.1842967587e-03 1.0000000000e+00
1.2091502766e+04 9.8345732689e-01 3.1540017541e-03 1.0000000000e+00
1.2091542314e+04 9.9151688814e-01 3.1318486272e-03 1.0000000000e+00
1.2091581862e+04 9.9859935045e-01 3.1039857159e-03 1.0000000000e+00
1.2091621410e+04 9.9886906147e-01 3.0646790029e-03 1.0000000000e+00
1.2091660958e+04 9.9425053596e-01 3.0257082601e-03 1.0000000000e+00
1.2091700506e+04 9.9033045769e-01 2.9984347023e-03 1.0000000000e+00
1.2091740054e+04 9.8983377218e-01 2.9821056185e-03 1.0000000000e+00
1.2091779602e+04 9.9173396826e-01 2.9712503035e-03 1.0000000000e+00
1.2091819150e+04 9.9434053898e-01 2.9642714118e-03 1.0000000000e+00
1.2091858698e+04 9.9696207047e-01 2.9612295710e-03 1.0000000000e+00
1.2091898245e+04 9.9892824888e-01 2.9592794395e-03 1.0000000000e+00
1.2091937793e+04 9.9866116047e-01 2.9562402898e-03 1.0000000000e+00
1.2091977341e+04 9.9462711811e-01 2.9532840592e-03 1.0000000000e+00
1.2092016889e+04 9.8722177744e-01 2.9521231298e-03 1.0000000000e+00
1.2092056437e+04 9.7942686081e-01 2.9521843593e-03 1.0000000000e+00
1.2092095985e+04 9.7432720661e-01 2.9526450948e-03 1.0000000000e+00
1.2092135533e+04 9.7042214870e-01 2.9540322873e-03 1.0000000000e+00
1.2092175081e+04 9.5992225409e-01 2.9579149944e-03 1.0000000000e+00
1.2092214629e+04 9.3433374166e-01 2.9673066660e-03 1.0000000000e+00
1.2092254177e+04 8.9424878359e-01 2.9854034392e-03 1.0000000000e+00
1.2092293725e+04 8.5406154394e-01 3.0108284504e-03 1.0000000000e+00
1.2092333273e+04 8.3370822668e-01 3.0348848734e-03 1.0000000000e+00
1.2092372821e+04 8.4061741829e-01 3.0463269288e-03 1.0000000000e+00
1.2092412369e+04 8.5888737440e-01 3.0401661644e-03 1.0000000000e+00
1.2092451917e+04 8.6145657301e-01 3.0209263426e-03 1.0000000000e+00
1.2092491465e+04 8.3771592379e-01 2.9975569372e-03 1.0000000000e+00
1.2092531013e+04 8.0736410618e-01 2.9772165900e-03 1.0000000000e+00
1.2092570561e+04 8.0277591944e-01 2.9630958778e-03 1.0000000000e+00
1.2092610109e+04 8.3776146173e-01 2.9550128158e-03 1.0000000000e+00
1.2092649657e+04 8.9608114958e-01 2.9505327676e-03 1.0000000000e+00
1.2092689205e+04 9.4918668270e-01 2.9480468799e-03 1.0000000000e+00
1.2092728753e+04 9.8048615456e-01 2.9460095859e-03 1.0000000000e+00
1.2092768301e+04 9.9205261469e-01 2.9441661585e-03 1.0000000000e+00
1.2092807849e+04 9.9432832003e-01 2.9421338671e-03 1.0000000000e+00
1.2092847396e+04 9.9502855539e-01 2.9402890694e-03 1.0000000000e+00
1.2092886944e+04 9.9642884731e-01 2.9403720098e-03 1.0000000000e+00
1.2092926492e+04 9.9793422222e-01 2.9426350508e-03 1.0000000000e+00
1.2092966040e+04 9.9859523773e-01 2.9437369032e-03 1.0000000000e+00
1.2093005588e+04 9.9815589190e-01 2.9411359211e-03 1.0000000000e+00
1.2093045136e+04 9.9708449841e-01 2.9380757392e-03 1.0000000000e+00
1.2093084684e+04 9.9603682756e-01 2.9395625195e-03 1.0000000000e+00
1.2093124232e+04 9.9536609650e-01 2.9442660571e-03 1.0000000000e+00
1.2093163780e+04 9.9503511190e-01 2.9450603228e-03 1.0000000000e+00
1.2093203328e+04 9.9488627911e-01 2.9390040021e-03 1.0000000000e+00
1.2093242876e+04 9.9508172274e-01 2.9325082060e-03 1.0000000000e+00
1.2093282424e+04 9.9619454145e-01 2.9329075095e-03 1.0000000000e+00
1.2093321972e+04 9.9849396944e-01 2.9388451997e-03 1.0000000000e+00
1.2093361520e+04 1.0011147261e+00 2.9433081290e-03 1.0000000000e+00
